source,destination,count,mean,min_delay,max_delay,range
6,4,15,14949.774877963187,4247.4080000007525,41760.89600000001,37513.487999999255
6,5,9,27967.973010869566,5328.655999999959,79872.00415886939,74543.34815886943
6,7,12,16759.023201212938,7336.336000000592,30567.958016962744,23231.622016962152
6,8,17,19070.56484257506,3475.087999999756,45418.119979221374,41943.03197922162
6,9,11,22516.97963022792,4710.623999999836,81132.56198053248,76421.93798053265
6,10,11,5341.612738269466,1390.0,17241.216000000015,15851.216000000015
6,11,12,12048.975764823766,3320.623999999836,20157.200000000183,16836.576000000347
7,0,8,7463.4050727955055,6255.0879999976605,9819.592582364568,3564.504582366908
7,1,9,25492.491592122282,5482.943999998272,107956.04845850042,102473.10445850214
7,2,7,33475.421868242396,6641.2479999978095,74589.87608026387,67948.62808026606
7,3,16,9012.193321604645,4865.088000000455,20311.31199999922,15446.223999998765
7,4,9,5612.734556454441,3088.928000001237,8726.863999998197,5637.93599999696
7,6,5,26598.262687363895,8494.816000000574,71498.41149015166,63003.595490151085
7,9,6,11115.629056996215,6332.496000000276,19886.17512411904,13553.679124118764
7,10,6,13346.102904277568,7413.567999999999,24002.54341448075,16588.975414480752
7,11,10,9970.360089379037,3243.392000000924,50292.181409465615,47048.78940946469
8,0,7,9028.06697265408,2857.2319999998435,20567.39680858259,17710.164808582747
8,1,10,18414.176126201124,4633.391999997199,57674.16319821589,53040.77119821869
8,2,15,1559.9103999997956,1312.7679999992251,2394.0159999998286,1081.2480000006035
8,3,10,10540.51110848656,5482.944000001065,37733.89722286823,32250.953222867167
8,4,7,32418.710493290182,6409.7280000010505,86883.44703628961,80473.71903628856
8,5,14,4840.904110761309,1312.7680000001565,22125.487999998037,20812.71999999788
8,6,13,25704.567144697303,2702.768000000002,64938.83417116408,62236.06617116408
8,7,6,15285.5082289412,7954.191999996081,43369.33737364691,35415.14537365083
8,9,9,32830.83284661734,10580.080000000076,103568.5790525187,92988.49905251863
8,10,15,3357.0212768108895,1312.7680000001565,12684.527999999931,11371.759999999775
8,11,3,42511.059446502935,8726.512000001036,84045.72308511831,75319.21108511728
9,0,16,5081.752446263794,2780.0,9719.783140225336,6939.783140225336
9,1,24,27006.564440461796,8417.76000000164,70237.46362240834,61819.7036224067
9,2,8,51218.536156003,8431.63062796276,100894.96094072936,92463.3303127666
9,3,17,2297.0027157475297,1544.463999999687,4726.762912174687,3182.2989121749997
9,4,10,9770.14741219061,4247.4080000007525,20294.86602517404,16047.458025173288
9,5,9,20954.704388553233,4401.871999999508,78170.843683986,73768.97168398649
9,6,12,19739.701649132243,7877.136000000406,54778.976600549766,46901.84060054936
9,7,14,13511.958284228456,3243.3919999999925,36895.28,33651.888000000006
9,8,8,48870.5846560364,16728.25160539057,83247.28430254664,66519.03269715607
9,10,17,32196.923236336403,4478.9280000003055,86365.19305016287,81886.26505016256
9,11,7,15224.639999998335,2934.4640000006184,33883.23199999519,30948.76799999457
10,0,10,7345.967866990924,3861.247999999672,14287.392000000924,10426.144000001252
10,1,9,10201.657815489169,3320.623999999836,43964.120562560856,40643.49656256102
10,2,11,4248.066732660867,1467.23199999996,13379.615999999922,11912.383999999962
10,3,7,32619.874555712948,8398.09680182999,109606.68953344168,101208.59273161169
10,4,4,8839.964602659398,5096.783999998122,13994.1129569076,8897.328956909478
10,5,7,3816.972106114055,2780.0,5328.655999999493,2548.6559999994934
10,6,11,11455.050806257794,1698.9280000003057,34445.12000000104,32746.192000000738
10,7,13,46367.19661065465,8958.207999998704,112044.92605090536,103086.71805090665
10,8,11,7292.894388182089,1776.1599999999162,14582.445520924404,12806.285520924488
10,9,13,51940.76673194136,7182.048000001349,133666.85031747632,126484.80231747497
10,11,4,8388.55619733446,6950.352000001818,9267.312000002712,2316.960000000894
11,0,20,6035.024367940094,2857.232000000309,14018.641549436375,11161.409549436066
11,1,21,5908.695709097066,1312.7680000001565,23129.503999999724,21816.735999999568
11,2,11,23109.170391883257,6486.960000001825,108712.31618937594,102225.35618937411
11,3,10,37097.145967000535,2857.231999998912,223349.2055687364,220491.97356873748
11,4,14,2773.800821711176,1621.6959999985993,5406.064000001177,3784.368000002578
11,5,11,24733.73057741816,7104.640000000596,46760.09212674387,39655.45212674327
11,6,10,11459.001020612171,5174.192000000272,26450.303999997675,21276.111999997403
11,7,10,5050.620799999597,3475.0880000004545,9190.256000000052,5715.167999999598
11,8,6,17545.170444466654,7876.959999997169,29607.849037602544,21730.889037605375
11,9,20,13432.733386689204,3088.928000000305,40370.49400893133,37281.566008931026
11,10,11,13934.32409654071,6614.600660461932,42261.99411386531,35647.393453403376
