source,destination,count,mean,min_delay,max_delay,range
8,9,5,15268.25013967189,7568.03199999989,32778.27758192131,25210.245581921423
8,10,3,10662.355439307168,2394.0159999998286,24971.02400000021,22577.00800000038
8,11,5,14677.970881428057,6486.959999999963,40736.61767672165,34249.65767672169
9,0,7,3717.546974760896,2934.4640000001527,4942.495999999344,2008.0319999991916
9,1,5,109202.62920451905,12300.562527467264,221983.2587071573,209682.69617969004
9,2,4,8479.455927046525,4942.496000000043,11753.647708184491,6811.151708184449
9,3,5,4245.202182920929,1853.3919999999923,10943.18441754859,9089.792417548597
9,4,1,15076.128253080416,15076.128253080416,15076.128253080416,0.0
9,5,1,8359.456010915193,8359.456010915193,8359.456010915193,0.0
9,6,5,10656.671886576805,4354.405341297388,14518.912000000477,10164.506658703089
9,7,2,5290.039999999746,3861.248000000021,6718.831999999471,2857.58399999945
9,8,1,5482.944000001065,5482.944000001065,5482.944000001065,0.0
9,10,4,14885.910734574427,8010.591838600114,19105.96112344228,11095.369284842167
10,0,2,8129.961943504983,3938.479999999981,12321.443887009984,8382.963887010003
10,1,2,31373.286067787558,24709.477410207503,38037.09472536761,13327.61731516011
10,2,3,7614.612298213334,2625.711999999825,16047.772894639756,13422.060894639932
10,3,5,34744.14650703734,3938.480000000447,130133.74191854287,126195.26191854243
10,4,1,11669.152264321225,11669.152264321225,11669.152264321225,0.0
10,5,2,3513.703999999794,3088.92799999984,3938.479999999749,849.5519999999092
10,6,2,22581.13369009539,14127.256797416136,31035.010582774645,16907.75378535851
10,7,2,16485.932853869628,16484.55314235296,16487.312565386295,2.759423033334315
10,8,4,7427.227485892712,2085.087999999989,22295.165943570435,20210.077943570446
10,9,6,10640.156609037813,8013.697529916652,15026.44259853661,7012.745068619959
10,11,4,13899.104213287006,6796.063999999315,25187.51541613997,18391.451416140655
11,0,5,13048.116194165126,6950.528000000864,18916.783293093555,11966.25529309269
11,1,6,9891.828556446553,2085.0880000004545,12721.901927102355,10636.8139271019
11,2,1,18238.179237719625,18238.179237719625,18238.179237719625,0.0
11,3,1,27790.491987617686,27790.491987617686,27790.491987617686,0.0
11,4,2,3070.9154563471675,2666.566912693903,3475.264000000432,808.6970873065293
11,5,1,67078.51613960974,67078.51613960974,67078.51613960974,0.0
11,6,2,18348.69635508093,11942.69043909898,24754.70227106288,12812.0118319639
11,7,2,4893.269287469389,3552.319999999949,6234.21857493883,2681.898574938881
11,8,4,12743.173090558761,9045.329147838987,14596.144000002185,5550.814852163197
11,9,4,416340.0577195664,5096.960000000079,1636661.7821629113,1631564.8221629113
11,10,4,685067.430264753,10851.42217120994,2495695.7646344127,2484844.342463203
